filename,width,height,class,xmin,ymin,xmax,ymax
00009.jpg,640,480,logo,266.0,88.0,300.0,151.0
00009.jpg,640,480,logo,121.0,82.0,177.0,139.0
00010.jpg,640,480,logo,357.0,95.0,392.0,162.0
00010.jpg,640,480,logo,213.0,85.0,266.0,142.0
00011.jpg,640,480,logo,419.0,104.0,457.0,174.0
00011.jpg,640,480,logo,274.0,88.0,326.0,145.0
00012.jpg,640,480,logo,549.0,125.0,594.0,206.0
00012.jpg,640,480,logo,397.0,103.0,452.0,164.0
00013.jpg,640,480,logo,504.0,117.0,547.0,193.0
00013.jpg,640,480,logo,354.0,99.0,412.0,155.0
00014.jpg,640,480,logo,440.0,105.0,482.0,177.0
00014.jpg,640,480,logo,297.0,94.0,350.0,151.0
00015.jpg,640,480,logo,346.0,94.0,381.0,161.0
00015.jpg,640,480,logo,203.0,85.0,256.0,141.0
00016.jpg,640,480,logo,252.0,85.0,289.0,149.0
00016.jpg,640,480,logo,112.0,80.0,168.0,139.0
00017.jpg,640,480,logo,164.0,82.0,203.0,142.0
00017.jpg,640,480,logo,24.0,82.0,80.0,142.0
00018.jpg,640,480,logo,53.0,82.0,95.0,142.0
00019.jpg,640,480,logo,6.0,85.0,50.0,142.0
00020.jpg,640,480,logo,555.0,140.0,623.0,199.0
00021.jpg,640,480,logo,480.0,121.0,545.0,179.0
00022.jpg,640,480,logo,550.0,97.0,614.0,147.0
00023.jpg,640,480,logo,511.0,89.0,569.0,137.0
00024.jpg,640,480,logo,419.0,74.0,473.0,122.0
00024.jpg,640,480,logo,552.0,94.0,587.0,165.0
00025.jpg,640,480,logo,334.0,62.0,385.0,114.0
00025.jpg,640,480,logo,462.0,79.0,492.0,149.0
00026.jpg,640,480,logo,226.0,57.0,277.0,106.0
00026.jpg,640,480,logo,352.0,68.0,377.0,128.0
00027.jpg,640,480,logo,276.0,63.0,303.0,120.0
00027.jpg,640,480,logo,151.0,54.0,203.0,104.0
00028.jpg,640,480,logo,201.0,59.0,229.0,115.0
00028.jpg,640,480,logo,75.0,53.0,129.0,104.0
00029.jpg,640,480,logo,139.0,57.0,169.0,112.0
00029.jpg,640,480,logo,12.0,54.0,66.0,105.0
00030.jpg,640,480,logo,12.0,62.0,43.0,114.0
00031.jpg,640,480,logo,424.0,74.0,452.0,139.0
00031.jpg,640,480,logo,296.0,59.0,346.0,108.0
00032.jpg,640,480,logo,483.0,82.0,515.0,152.0
00032.jpg,640,480,logo,354.0,65.0,404.0,114.0
00033.jpg,640,480,logo,586.0,99.0,623.0,173.0
00033.jpg,640,480,logo,449.0,78.0,506.0,127.0
00034.jpg,640,480,logo,513.0,88.0,575.0,136.0
00035.jpg,640,480,logo,577.0,99.0,639.0,154.0
00036.jpg,640,480,logo,360.0,67.0,388.0,128.0
00036.jpg,640,480,logo,235.0,56.0,285.0,106.0
00037.jpg,640,480,logo,170.0,57.0,200.0,114.0
00037.jpg,640,480,logo,43.0,53.0,98.0,103.0
00038.jpg,640,480,logo,32.0,62.0,64.0,116.0
00039.jpg,640,480,logo,365.0,15.0,386.0,64.0
00039.jpg,640,480,logo,263.0,9.0,303.0,50.0
00040.jpg,640,480,logo,410.0,19.0,434.0,68.0
